"Sno","SP_CODE","DISTRICT","MANDAL","VILLAGE","LON","LAT","09-04-25","10-04-25","11-04-25","12-04-25","13-04-25","14-04-25","15-04-25","16-04-25","17-04-25"
15281,123044,"SRIKAKULAM","SARAVAKOTA","Kurmanadhapuram1",84.155734,18.590909,1.75,0.34,3.32,0.33,3.38,0.74,1.37,0.199999999999999,0.0500000000000007
15282,211054,"VIZIANAGARAM","SALUR","Dattivalasa",83.181061,18.598377,1.2,0.94,1.05,0.16,0.24,1.13,0.76,0,0.33
15283,102024,"SRIKAKULAM","VANGARA","Devakivada",83.579284,18.594307,3.21,0.34,1.04,0.00999999999999979,3.67,1.61,0.77,0.19,0
15284,131059,"SRIKAKULAM","VAJRAPUKOTHURU","Devunaltada",84.361302,18.592206,1.65,0.15,0.00999999999999979,0,0.85,0.0200000000000005,0.47,0.149999999999999,0.0600000000000005
15285,127020,"SRIKAKULAM","TEKKALI","Talagam1",84.266099,18.588547,1.02,0.16,1.41,0.3,1.91,0.0499999999999998,1.25,0.220000000000001,0.0499999999999998
15286,211069,"VIZIANAGARAM","SALUR","Pedapadammutta",83.23945,18.600106,1.2,0.94,1.05,0.16,0.24,1.13,0.76,0,0.33
15287,209020,"VIZIANAGARAM","BALAJIPETA","Chilkalapalle",83.53995,18.590741,2.29,0.94,2.26,0,5.79,3.3,2.07,0,0.0399999999999991
15288,210008,"VIZIANAGARAM","BOBBILI","KomatipalleNearBobbili",83.402734,18.594065,0.85,1.53,3.07,0,1.37,2.87,1.59,0.139999999999999,0
15289,138034,"SRIKAKULAM","LAXMINARASAMPET","Kaviti3",83.91043,18.595555,0.99,1.18,1.88,0.11,3.2,4.72,1.43,0.0899999999999999,0.0700000000000003
15290,113085,"SRIKAKULAM","SEETHAMPETA","Daraba",83.848079,18.596842,1.52,1.12,0.25,0.0499999999999998,6.23,3.06,0.470000000000001,0.279999999999999,0.81
15291,127047,"SRIKAKULAM","TEKKALI","Thirlangi",84.205901,18.593048,1.75,0.34,3.32,0.33,3.38,0.74,1.37,0.199999999999999,0.0500000000000007
15292,138017,"SRIKAKULAM","LAXMINARASAMPET","Chittimandalam",83.936543,18.592693,0.99,1.18,1.88,0.11,3.2,4.72,1.43,0.0899999999999999,0.0700000000000003
15293,210016,"VIZIANAGARAM","BOBBILI","Kammavalasa",83.4396,18.586931,0.85,1.53,3.07,0,1.37,2.87,1.59,0.139999999999999,0
15294,209018,"VIZIANAGARAM","BALAJIPETA","Nookalavada",83.535266,18.602428,2.29,0.94,2.26,0,5.79,3.3,2.07,0,0.0399999999999991
15295,190973,"SRIKAKULAM","SANTHABOMMALI","TEKKALICREEK",84.294276,18.541053,0.81,0.13,0.01,0.01,0.41,0.02,0.35,0.27,0.0699999999999998
15296,112026,"SRIKAKULAM","PALAKONDA","Vadama",83.759632,18.592056,1.52,1.12,0.25,0.0499999999999998,6.23,3.06,0.470000000000001,0.279999999999999,0.81
